Location,Area,Price,New/Resale,House_Type,bhk,bath,Floor,Age,Gym,Lift,Car_Parking,Security,Play_area,Clubhouse,Indoor_Games,Gas,Jogging_Track,Swimming_Pool
Kandivali,1472,33000000,0,Apartment,3,4,More than 5,,1,1,1,1,1,1,0,0,1,1
Virar East,370,2100000,0,Apartment,1,1,More than 5,,0,0,1,1,1,0,0,0,0,0
Nerul,715,8000000,0,Apartment,1,1,More than 5,,1,1,1,1,1,1,0,0,0,1
Roadpali,1771,21000000,0,Apartment,3,4,More than 5,,1,1,1,1,1,1,0,0,0,1
Goregaon,1650,25500000,1,Apartment,3,4,More than 5,,0,1,1,1,1,0,0,1,0,1
Seawoods,1650,16000000,0,Apartment,3,4,More than 5,,0,1,1,0,0,0,0,1,0,0
Napeansea Road,1340,112500000,0,Apartment,3,4,More than 5,,0,1,0,1,1,0,0,0,0,0
Ulwe,690,5500000,0,Apartment,1,1,More than 5,,0,1,1,1,1,0,0,0,0,0
Borivali West,816,13000000,1,Apartment,2,2,More than 5,,0,1,1,0,0,0,0,0,0,0
Mumbai Highway,810,8000000,0,Apartment,2,2,More than 5,,1,1,1,1,1,0,0,0,0,0
Kharghar,1000,8500000,0,Apartment,2,2,More than 5,,1,1,1,1,1,0,0,0,0,0
Kharghar,1250,14500000,0,Independent House,2,1,1,,1,1,1,0,0,0,0,0,0,1
Thane,473,6990000,1,Apartment,1,1,More than 5,,1,1,1,1,1,1,1,0,1,1
Kharghar,1000,8500000,0,Apartment,2,2,More than 5,,1,1,1,0,0,0,0,0,0,1
Kharghar,1016,14000000,0,Apartment,2,2,More than 5,,1,1,1,1,1,0,0,0,0,1
Kharghar,785,10000000,0,Apartment,2,2,More than 5,,1,1,1,0,0,0,0,0,0,1
Kharghar,1290,13000000,0,Apartment,2,2,More than 5,,1,1,1,1,1,0,0,0,0,1
Kharghar,1227,11500000,0,Apartment,2,2,More than 5,,1,1,1,1,1,0,0,0,0,1
Kharghar,1630,17500000,0,Apartment,3,2,More than 5,,0,0,1,1,1,0,0,0,0,1
Kharghar,1200,14000000,0,Apartment,2,2,More than 5,,0,1,1,1,1,0,0,0,0,0
Kharghar,1200,14000000,0,Apartment,2,2,More than 5,,1,1,1,0,0,0,0,0,0,1
Mumbai Highway,1500,19000000,0,Apartment,3,4,More than 5,,1,0,1,1,1,0,0,0,0,1
Worli,2000,85000000,0,Apartment,3,4,More than 5,,0,1,1,1,1,0,0,0,0,0
Kandivali East,525,8200000,0,Apartment,1,1,More than 5,,1,1,1,1,1,1,0,0,1,1
Borivali West,540,12000000,0,Apartment,1,1,More than 5,,0,1,1,1,1,0,0,0,0,0
Panvel,525,2800000,1,Apartment,1,1,More than 5,,0,0,1,1,1,0,0,0,0,0
Ghatkopar,1350,29000000,0,Apartment,3,4,5,,1,1,1,1,1,1,0,1,0,0
Kharghar,1131,11000000,0,Apartment,2,2,More than 5,,1,1,1,1,1,1,0,0,0,1
Kharghar,1400,9500000,0,Apartment,3,4,More than 5,,1,1,1,1,1,1,0,0,0,0
Kharghar,800,6500000,0,Apartment,2,2,More than 5,,1,1,1,1,1,1,0,0,0,0
Kharghar,500,3700000,0,Apartment,1,1,More than 5,,1,1,1,1,1,1,0,0,0,0
Lokhandwala,900,10500000,0,Independent House,2,2,0,,0,0,1,0,0,0,0,1,0,0
Andheri,1050,12000000,0,Apartment,2,2,More than 5,,1,1,1,1,1,1,0,0,0,0
Andheri,1225,8500000,0,Apartment,3,3,More than 5,,1,1,1,1,1,1,0,0,0,1
Andheri,1100,18000000,0,Apartment,2,2,More than 5,,1,1,1,1,1,1,0,0,0,1
Goregaon,1400,25000000,0,Apartment,3,3,More than 5,,0,1,1,1,1,0,0,0,0,0
